Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
29081916,Only Dull People Are Brilliant at Breakfast,Oscar Wilde,"Wilde, Oscar",,"=""""","=""""",4,Penguin,Kindle Edition,60,2016,2016,2026/06/08,2026/06/07,,,read,I think a man should invent his own myth.,,,1,0
25614898,When Breath Becomes Air,Paul Kalanithi,"Kalanithi, Paul",Abraham   Verghese,"=""081298840X""","=""9780812988406""",4,Random House,Hardcover,229,2016,2016,2026/05/07,2022/06/19,,,read,,,,1,0
318706,"The Secret of the Caves (Hardy Boys, #7)",Franklin W. Dixon,"Dixon, Franklin W.",,"=""0448189070""","=""9780448189079""",4,Grosset & Dunlap,Hardcover,175,1975,1929,2026/04/24,2026/04/23,,,read,,,,1,0
237402878,Soliloquies,Adil Jussawalla,"Jussawalla, Adil",,"=""9369890033""","=""9789369890033""",4,Fourth Estate India,Kindle Edition,100,2025,,2026/01/26,2026/01/26,,,read,,,,1,0
63877872,And How Do You Feel About That,Aruna Gopakumar,"Gopakumar, Aruna",Yashodhara Lal,"=""014345742X""","=""9780143457428""",4,Penguin ,Paperback,376,2022,2022,2026/02/06,2026/02/05,,,read,,,,1,0
244484834,Never Logged Out: How the Internet Created India's Gen Z,Ria Chopra,"Chopra, Ria",,"=""9361311255""","=""9789361311253""",4,Bloomsbury India,Paperback,234,2025,,2026/04/19,2026/04/19,,,read,,,,1,0
36655278,"Immigrant, Montana",Amitava Kumar,"Kumar, Amitava",,"=""0571339581""","=""9780571339587""",4,Faber & Faber,Hardcover,0,2018,2017,2025/11/20,2025/10/22,,,read,,,,1,0
29410489,The Death of Ivan Ilyich,Leo Tolstoy,"Tolstoy, Leo",,"=""0241251761""","=""9780241251768""",4,Penguin,Paperback,114,2016,1886,2025/10/10,2025/10/10,,,read,,,,1,0
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""1400078776""","=""9781400078776""",4,Vintage Books ,Paperback,288,2010,2005,2025/09/23,2025/09/09,,,read,A Sci-fi that doesn't seem like one. <br/>Masterful writing with melancholic undertones throughout.,true,,1,0
217514662,The Murders in the Rue Morgue: Pocket Classic,Edgar Allan Poe,"Poe, Edgar Allan",,"=""9358562196""","=""9789358562194""",4,Fingerprint! Pub,Paperback,76,2024,1841,2025/08/19,2025/08/18,,,read,,,,1,0
62192261,The Door-to-Door Bookstore,Carsten Henn,"Henn, Carsten",Melody Shaw,"=""133549085X""","=""9781335490858""",4,Hanover Square Press,Hardcover,239,2023,2020,2025/09/09,2025/09/08,,,read,,,,1,0
199664162,The Yellow Book: A Traveller's Diary,Amitava Kumar,"Kumar, Amitava",,"=""9356996032""","=""9789356996038""",4,HarperCollins India,Kindle Edition,195,2023,,2025/08/30,2025/08/21,,,read,,,,1,0
30267604,Ghachar Ghochar,Vivek Shanbhag,"Shanbhag, Vivek",Srinath Perur,"=""014311168X""","=""9780143111689""",3,Penguin Books,Paperback,118,2017,2013,2025/08/11,2025/08/06,,,read,,,,1,0
56930703,The Puma Years,Laura   Coleman,"Coleman, Laura",,"=""1542022207""","=""9781542022200""",3,Little A,Kindle Edition,321,2021,2021,2025/08/06,2024/08/01,,,read,"The Puma Years by Laura Coleman is a true memoir in every sense—raw, reflective, and grounded in the real-life complexities of jungle conservation work in Bolivia. It took me about a year to finish it, partly because this isn’t a fast-paced story. Instead, it moves with the rhythm of real life, full of moments that are beautiful, chaotic, tiring, and sometimes hard to follow.<br/><br/>One of the more unique elements of the book is how Coleman steers it away from being just a personal journey. She introduces a wide array of people and animals—each a small but significant part of this larger story. While this offers an authentic, collective narrative, it also means that it's not always easy to keep track of every character. But maybe that’s the point. Much like in real life, not every encounter leaves a lasting impression, and many of our experiences are fleeting.<br/><br/>The strongest parts of the book lie in its emotional honesty and deep connection to the natural world. However, it didn’t quite go beyond being “a good read” for me. It’s thoughtful, occasionally moving, and certainly worth reading, but it lacked the kind of resonance or insight that would have made it unforgettable.",,,1,0
58486432,The Blue Umbrella,Ruskin Bond,"Bond, Ruskin",,"=""8171673406""","=""9788171673407""",4,Rupa Publications,Paperback,90,2021,1980,2025/08/05,2025/08/04,,,read,,,,1,0
40006561,The Little Prince,Anotine De Saint-exupery,"Saint-exupery, Anotine De",,"=""9386538229""","=""9789386538222""",5,Fingerprint,Paperback,144,2017,1943,2025/07/24,2025/07/23,,,read,,,,1,0
55873262,A Passage North,Anuk Arudpragasam,"Arudpragasam, Anuk",,"=""0593230701""","=""9780593230701""",4,Hogarth,Hardcover,304,2021,2021,2025/07/08,2022/06/27,,,read,"The initial ambiguity surrounding the subject matter ultimately resolved into an unanticipated outcome. This narrative is enriched by numerous self-contained anecdotes, each offering a unique perspective. It chronicles a journey of exploration, encompassing both physical and intellectual dimensions.",,,1,0
235482272,The Fantastic Affair of Despair,Doorva Devarshi,"Devarshi, Doorva",,"=""9361137255""","=""9789361137259""",0,Pan Macmillan India,Kindle Edition,224,2025,,,2025/06/26,to-read,to-read (#144),to-read,,,,0,0
52384327,White Nights,Fyodor Dostoyevsky,"Dostoyevsky, Fyodor",Fyodor Dostoevsky,"=""1521933073""","=""9781521933077""",4,Independently published,Paperback,189,2017,1848,2025/06/23,2025/06/23,,,read,,,,1,0
8669451,Ice Station,Matthew Reilly,"Reilly, Matthew",,"=""033051346X""","=""9780330513463""",4,Pan MacMillan,Paperback,690,2010,1998,2025/06/17,2024/09/30,,,read,,,,1,0
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",0,HarperPerennial / Perennial Classics,Paperback,288,1998,1932,,2025/05/28,to-read,to-read (#143),to-read,,,,0,0
200033014,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""0006546064""","=""9780006546061""",4,HarperVoyager,Paperback,227,2008,1963,2025/05/28,2025/05/27,,,read,A book ahead of its time. Prescient in lots of ways.,,,1,0
22818499,Into the Heart of the Himalayas,Jono Lineen,"Lineen, Jono",,"=""0522866018""","=""9780522866018""",4,Melbourne University Publishing,Kindle Edition,301,2014,2014,2025/05/12,2025/04/28,,,read,,,,1,0
176050664,A Nest of Vipers (Bangalore Detectives Club #3),Harini Nagendra,"Nagendra, Harini",,"=""1408715244""","=""9781408715246""",4,Constable,Paperback,416,2024,2024,2025/04/28,2025/04/02,,,read,,,,1,0
60288762,The Blue Book: A Writer's Journal,Amitava Kumar,"Kumar, Amitava",,"=""9354893740""","=""9789354893742""",5,HarperCollins India,Paperback,154,2022,,2025/04/13,2025/04/02,,,read,,,,1,0
49455,Notes from Underground,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Donald Fanger, Larissa Volokhonsky, Richard Pevear","=""067973452X""","=""9780679734529""",5,Vintage Classics,Paperback,136,1994,1864,2025/04/02,2025/03/14,,,read,Consise yet packs a punch!,,,1,0
57109107,The Lincoln Highway,Amor Towles,"Towles, Amor",,"=""0735222355""","=""9780735222359""",0,Viking,Hardcover,576,2021,2021,,2025/03/14,to-read,to-read (#142),to-read,,,,0,0
32952765,We Indians,Khushwant Singh,"Singh, Khushwant",,"=""8193284135""","=""9788193284131""",3,Juggernaut Books,Paperback,224,2016,1989,2025/03/09,2025/03/11,,,read,,,,2,0
48767908,The Discomfort of Evening,Lucas Rijneveld,"Rijneveld, Lucas",Michele Hutchison,"=""""","=""""",0,Faber & Faber,Kindle Edition,288,2020,2018,,2023/10/16,did-not-complete,did-not-complete (#7),did-not-complete,,,,1,0
40102,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,"Gladwell, Malcolm","Barry Fox, Irina Henegar","=""0316010669""","=""9780316010665""",0,Back Bay Books,Paperback,296,2007,2005,,2024/07/28,did-not-complete,did-not-complete (#6),did-not-complete,,,,1,0
220137159,Northanger Abbey,Jane Austen,"Austen, Jane",,"=""981516273X""","=""9789815162738""",0,Penguin Select Classics,Hardcover,240,2024,1817,,2024/11/11,currently-reading,currently-reading (#3),currently-reading,,,,1,0
73098909,Go Set a Watchman,Harper Lee,"Lee, Harper",,"=""3201587524""","=""9783201587525""",3,William Heinemann,Hardcover,0,2015,2015,2025/02/07,2025/02/06,,,read,,,,1,0
59034082,Post Office,Charles Bukowski,"Bukowski, Charles",,"=""""","=""""",3,Ecco,Kindle Edition,162,2009,1971,2025/01/09,2025/01/08,,,read,,,,1,0
194740,The Setting Sun,Osamu Dazai,"Dazai, Osamu",Donald Keene,"=""0811200329""","=""9780811200325""",4,New Directions,Paperback,175,2020,1947,2024/12/19,2024/12/16,,,read,,,,1,0
44421460,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",Geoffrey Trousselot,"=""1529029589""","=""9781529029581""",3,Picador,Paperback,213,2019,2015,2024/12/09,2024/11/21,,,read,,,,1,0
156958571,These Errors Are Correct,Jeet Thayil,"Thayil, Jeet",,"=""0670096938""","=""9780670096930""",4,Penguin Hamish Hamilton,Hardcover,144,2022,2008,2024/12/07,2024/11/05,,,read,,,,1,0
43497327,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""0679720200""","=""9780679720201""",5,Vintage International,Paperback,123,1989,1942,2024/12/02,2024/12/01,,,read,,,,1,0
122833593,"Prince (Deluxe Hardbound Edition), The (Fingerprint Classics)",Niccolò Machiavelli,"Machiavelli, Niccolò",,"=""9354406688""","=""9789354406683""",0,Fingerprint,Hardcover,176,2022,1532,,2024/10/21,currently-reading,currently-reading (#2),currently-reading,,,,1,0
214245003,Darako,Parashar Kulkarni,"Kulkarni, Parashar",,"=""9357087141""","=""9789357087148""",3,Penguin,Kindle Edition,139,2024,,2024/11/11,2024/11/05,,,read,,,,1,0
35838135,your name. 03,Ranmaru Kotone,"Kotone, Ranmaru",Makoto Shinkai,"=""""","=""9780316521178""",3,Yen Press,Paperback,166,2018,2017,2024/10/24,2024/10/24,,,read,,,,1,0
35181845,your name. 2,Ranmaru Kotone,"Kotone, Ranmaru",Makoto Shinkai,"=""""","=""9780316412889""",4,Yen Press,Paperback,164,2017,2016,2024/10/23,2024/10/23,,,read,,,,1,0
33232472,Your name. 01,Ranmaru Kotone,"Kotone, Ranmaru",Makoto Shinkai,"=""""","=""9780316558556""",4,Yen Press,Paperback,180,2017,2016,2024/10/21,2024/10/23,,,read,,,,1,0
44804766,The Palace of Illusions,Chitra Banerjee Divakaruni,"Divakaruni, Chitra Banerjee",,"=""9386215969""","=""9789386215963""",4,Pan Macmillan India,Paperback,360,2019,2008,2024/11/03,2024/10/19,,,read,,,,1,0
11855088,Farewell: The Greatest Spy Story of the Twentieth Century,Sergei Kostin,"Kostin, Sergei","Eric Raynaud, Richard V. Allen, Catherine Cauvin-Higgins","=""161109027X""","=""9781611090277""",0,AmazonCrossing,Kindle Edition,448,2011,2011,,2020/12/27,did-not-complete,did-not-complete (#5),did-not-complete,,,,1,0
213965462,Metamorphosis (HB),Franz Kafka,"Kafka, Franz",,"=""9815162462""","=""9789815162462""",4,Penguin Select Classics,Hardcover,0,2024,1915,2024/10/20,2024/10/20,,,read,,,,1,0
17678814,Neglected Poems,Gulzar & Pavan K. Varma (Tr.),"(Tr.), Gulzar & Pavan K. Varma",,"=""0143420291""","=""9780143420293""",0,Penguin,Paperback,144,2013,2012,,2024/10/19,currently-reading,currently-reading (#1),currently-reading,,,,1,0
215616247,"More Days at the Morisaki Bookshop (Days at the Morisaki Bookshop, #2)",Satoshi Yagisawa,"Yagisawa, Satoshi",Eric Ozawa,"=""1786584328""","=""9781786584328""",4,Manilla Press,Paperback,167,2024,2011,2024/10/10,2024/10/05,,,read,,,,1,0
